Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Academy of Beauty Professionals,"800 W Foxwood Dr., Raymore, Missouri 64083-9195",https://www.academyofbeautyprofessionals.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Rural: Fringe,No,49,49,44%,NA,2019-20,"$23,693","Cosmetology/Cosmetologist, General",421771,03110900
Academy of Beauty Professionals,"6414 Odana Road, Madison, Wisconsin 53719",https://www.academyofbeautyprofessionals.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,54,54,21%,NA,2019-20,"$21,995","Cosmetology/Cosmetologist, General",489122,03110901
Academy of Career Training,"3501 W Vine St Ste 111, Kissimmee, Florida 34741",academyofcareertraining.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,50,50,85%,NA,2019-20,$278,"Cosmetology and Related Personal Grooming Arts, Other",451097,04126900
Academy of Cosmetology,"2088 N. Courtenay Parkway, Merritt Island, Florida 32953",academyofcosmetology.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,113,113,32%,3%,2019-20,"$16,644","Cosmetology/Cosmetologist, General",372462,02499000
Academy of Cosmetology Inc,"133 W Mendenhall, Bozeman, Montana 59715-3544",www.academycosmetology.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Remote,No,37,37,77%,NA,2019-20,"$14,106","Cosmetology/Cosmetologist, General",179991,02621300
Academy of Esthetics and Cosmetology,"1242 San Fernando Rd, San Fernando, California 91340-3212",www.aecosmetology.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,21,21,40%,NA,2019-20,"$14,508",Aesthetician/Esthetician and Skin Care Specialist,454722,04132400
Academy of Hair Design - Austin,"2015 East Riverside Drive, Austin, Texas 78741-1338",www.aohd.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,,,NA,NA,2019-20,NA,Barbering/Barber,45133401,04037501
Academy of Hair Design-Grenada,"1301 Sunset Dr #JK, Grenada, Mississippi 38901",www.academyofhair.com/grenada-campus,"< 2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,24,24,50%,NA,2019-20,"$16,666","Cosmetology/Cosmetologist, General",175722,02244305
Academy of Hair Design-Jackson,"5420 I-55 Frontage Rd N, Jackson, Mississippi 39211",mississippibarberacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,60,60,50%,NA,2019-20,"$18,475",Barbering/Barber,374316,02244300
Academy of Hair Design-Jasper,"348 Spring Hill St, Jasper, Texas 75951",lufkinhairdesign.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Remote,No,56,56,97%,NA,2019-20,"$10,697","Cosmetology/Cosmetologist, General",447449,03276301
Academy of Hair Design-Las Vegas,"5191 W. Charleston Blvd. #150, Las Vegas, Nevada 89146",www.ahdvegas.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,203,203,72%,NA,2019-20,"$18,999","Cosmetology/Cosmetologist, General",181880,01323200
Academy of Hair Design-Lufkin,"512 S Chestnut, Lufkin, Texas 75904",www.lufkinhairdesign.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Remote,No,82,82,84%,NA,2019-20,"$11,267","Cosmetology/Cosmetologist, General",434274,03276300
Academy of Hair Design-Pearl,"3167 Hwy 80 E, Pearl, Mississippi 39208",www.academyofhair.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,42,42,67%,NA,2019-20,"$17,972","Cosmetology/Cosmetologist, General",382461,02235900
Academy of Hair Design-Springfield,"1834 S Glenstone, Springfield, Missouri 65804",aohd.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,289,289,54%,NA,2019-20,"$19,015","Cosmetology/Cosmetologist, General",451334,04037500
Academy of Hair Technology,"3715 E North St Ste F, Greenville, South Carolina 29615-2363",www.hairchamps.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,72,72,67%,NA,2019-20,"$6,305",Facial Treatment Specialist/Facialist,376446,02552400
Academy of Massage and Bodywork,"1218 Pulaski Hwy Ste 324, Bear, Delaware 19701",www.massage-academy.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,116,116,NA,NA,2019-20,NA,Master Aesthetician/Esthetician,451051,04130700
Academy of Natural Therapy Inc,"625 8th Ave, Greeley, Colorado 80631-9441",www.natural-therapy.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,45,45,NA,NA,2019-20,NA,Massage Therapy/Therapeutic Massage,449454,04093300
Academy of Professional Cosmetology,"2600 West Hudson Road Suite A, Rogers, Arkansas 72756-2028",www.apcschools.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,135,135,34%,3%,2019-20,"$12,837",Aesthetician/Esthetician and Skin Care Specialist,486619,04241800
Academy of Salon and Spa,"311 S 16th St, Fort Smith, Arkansas 72901",www.academysalonspa.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,67,67,53%,NA,2019-20,"$15,085","Cosmetology/Cosmetologist, General",107293,01074100
Academy of Salon Professionals,"2414 S. Limit Ave, Sedalia, Missouri 65301",www.academyofsalonprofessionals.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Remote,No,52,52,54%,NA,2019-20,"$12,779","Cosmetology/Cosmetologist, General",480879,04212100
Acaydia School of Aesthetics,"86 North University Avenue, Suite 130, Provo, Utah 84601-0000",www.acaydia.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,136,136,91%,9%,2019-20,"$14,426",Master Aesthetician/Esthetician,461342,04165500
Access Careers,"474 Fulton Avenue, Suite 201, Hempstead, New York 11550-0000",www.accesscareers.net/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,266,266,94%,NA,2019-20,NA,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other",483708,04213400
Access Careers-Islandia,"1930 Veterans Highway, Suite 10, Islandia, New York 11749-1599",www.accesscareers.net/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,138,138,85%,NA,2019-20,NA,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other",494904,04213401
Ace Institute of Technology,"312 West 36 Street, 2nd Floor, New York, New York 10018",www.acecareer.edu/,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Large,No,330,330,43%,NA,Fall 2019,"$29,364",Medical/Clinical Assistant,449676,04043300
Acupuncture and Massage College,"10506 N Kendall Drive, Miami, Florida 33176",www.amcollege.edu/,"4-year, Private for-profit",Less than one year certificate;Associate's degree;Bachelor's degree;Master's degree,City: Small,No,138,67,67%,NA,Fall 2016,"$34,163",-,439969,03414500
Adrian H. Wallace Barber Academy,"3822 North 9th Avenue, Pensacola, Florida 32503-2802",https://www.ahwbarberacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,29,29,91%,NA,2019-20,"$12,229",Barbering/Barber,495217,04287400
Adrian's Beauty College of Turlock,"1340 W Main St, Turlock, California 95380",www.adrians.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Small,No,97,97,70%,4%,2019-20,"$18,536","Cosmetology/Cosmetologist, General",262369,02520400
Advance Beauty College,"10121 Westminster Ave, Garden Grove, California 92843",www.advancebeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,516,516,92%,NA,2019-20,"$10,859",Aesthetician/Esthetician and Skin Care Specialist,400187,03736300
Advance Beauty Techs Academy,"641 N State St Ste 1, San Jacinto, California 92583-6572",www.abt.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,88,88,57%,NA,2019-20,"$20,087",Aesthetician/Esthetician and Skin Care Specialist,479974,04206800
Advance Science International College,"5190 nw 167 st STE 200, Miami Lakes, Florida 33014",www.asicollege.edu/,"2-year, Private for-profit",Associate's degree,Suburb: Large,No,92,92,67%,NA,Fall 2019,"$27,506",Registered Nursing/Registered Nurse,444334,03757300
Advanced Barber College and Hair Design,"2818 S International, Weslaco, Texas 78596",abcrgv.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,134,134,37%,NA,2019-20,"$21,605",Barbering/Barber,437608,03412300
Advanced Career Institute,"1243 N. Clancy Street, Visalia, California 93291",https://advanced.edu/,"< 2-year, Private for-profit",Less than one year certificate,Rural: Fringe,No,910,910,62%,NA,2019-20,"$2,864",Truck and Bus Driver/Commercial Vehicle Operator and Instructor,480019,04208900
Advanced College of Cosmetology,"25 West Main Street, Waupun, Wisconsin 53963-0000",www.accsuccess.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Distant,No,26,26,80%,NA,2019-20,"$11,140","Cosmetology/Cosmetologist, General",461786,04179200
Advanced Technology Institute,"5700 Southern Blvd Ste 100, Virginia Beach, Virginia 23462",www.auto.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Large,No,459,459,61%,NA,Fall 2019,"$18,769",-,231411,03127500
Advanced Training Institute,"5150 S. Decatur Blvd., Las Vegas, Nevada 89118-1519",www.atitraining.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,591,591,NA,NA,2019-20,NA,Electrician,461430,04171000
Advanced Welding Institute,"2 Green Tree Dr Suite 3, South Burlington, Vermont 05403",www.awi.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,94,94,95%,NA,2019-20,"$19,845",Welding Technology/Welder,456001,04146900
Advantage Career Institute,"215 Broad Street, Eatontown, New Jersey 07724",www.aci.edu/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,100,100,60%,NA,2019-20,"$11,511",Medical/Clinical Assistant,490896,04229100
Advantage Technical College,"3 Ramos Velez St, Manati, Puerto Rico 00674",https://www.adtecpr.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,543,543,53%,NA,2019-20,"$5,456",Electrician,423397,03104400
Advantage Technical College,"Ponce de Leon Avenue #818, San Juan, Puerto Rico 00907-0000",https://www.adtecpr.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,499,499,54%,NA,2019-20,"$4,855",Veterinary/Animal Health Technology/Technician and Veterinary Assistant,493071,03104401
Advantage Technical College-Aguadilla,"#7 Jose de Jesus Estevez Street, Aguadilla, Puerto Rico 00603-0000",https://www.adtecpr.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,331,331,62%,NA,2019-20,"$3,456",Veterinary/Animal Health Technology/Technician and Veterinary Assistant,495970,03104402
Aesthetic Science Institute,"922 Troy-Schenectady Road, Latham, New York 12110-1095",www.aestheticscienceinstitute.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,138,138,91%,NA,2019-20,"$9,959",Aesthetician/Esthetician and Skin Care Specialist,476878,04204300
Aesthetics Institute,"50 Grasso Plaza, St. Louis, Missouri 63123-3107",https://www.aiskin.org/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,40,40,NA,NA,2019-20,"$18,058",Aesthetician/Esthetician and Skin Care Specialist,496724,04295100
AI Miami International University of Art and Design,"1501 Biscayne Boulevard, Suite 100, Miami, Florida 33132-1418",www.artinstitutes.edu/miami/,"4-year, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,City: Large,No,909,866,15%,NA,Fall 2016,"$32,971",-,134811,00887800
Aiken School of Cosmetology and Barbering,"3084 Whiskey Rd., Aiken, South Carolina 29803",https://aikenschoolofcosmetologyandbarbering.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,,,NA,NA,2019-20,NA,"Cosmetology/Cosmetologist, General",457998,
Alabama School of Nail Technology & Cosmetology,"202 Commerce Street, Jackson, Alabama 36545-2718",www.alabamaschoolofnailtechnology.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Remote,No,43,43,83%,NA,2019-20,"$21,978","Cosmetology/Cosmetologist, General",488916,04255500
Alamo City Barber College,"8910 Bandera Road Suite 209, San Antonio, Texas 78250-3227",www.alamocitybarbercollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,145,145,15%,33%,2019-20,"$10,762",Barbering/Barber,482981,04231900
Alaska Career College,"1415 E Tudor Road, Anchorage, Alaska 99507-1033",www.alaskacareercollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Large,No,268,268,70%,NA,Fall 2019,"$17,498",Medical/Clinical Assistant,103501,02541000
Alexander Academy,"55 Massachusetts Avenue, Lunenburg, Massachusetts 01462-0000",www.alexanderacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Midsize,No,26,26,73%,NA,2019-20,"$24,908",Barbering/Barber,476735,04193100
Alexander Paul Institute of Hair Design,"1011 Charles Blvd Ste A, Greenville, North Carolina 27858-3344",https://www.alexanderpaul.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,51,51,89%,NA,2019-20,"$12,012","Cosmetology/Cosmetologist, General",483425,04219100
Alhambra Medical University,"2215 W. Mission Road, Alhambra, California 91803",www.amu.edu/,"4-year, Private for-profit",Master's degree;Doctor's degree - professional practice,Suburb: Large,No,143,48,NA,NA,Fall 2016,NA,-,487995,04243100
Allen School-Brooklyn,"188 Montague Street, Brooklyn, New York 11201",www.allenschool.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,148,148,85%,NA,2019-20,"$24,604",Medical/Clinical Assistant,188650,03358301
Allen School-Jamaica,"163-18 Jamaica Avenue, Jamaica, New York 11432",www.allenschool.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,86,86,86%,NA,2019-20,"$28,456",Medical/Clinical Assistant,415987,03358300
Allen School-Phoenix,"15650 North Black Canyon Highway, B210, Phoenix, Arizona 85053-4064",www.allenschool.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,9,9,84%,NA,2019-20,"$20,593",Medical/Clinical Assistant,469610,03358303
Allgood Beauty Institute,"9741 Preston Road Suite 106, Frisco, Texas 75033-4112",allgoodbeauty.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,21,21,14%,NA,2019-20,"$25,683",Aesthetician/Esthetician and Skin Care Specialist,490522,04267200
Alliance Computing Solutions,"3660 Main Street, 4th Floor, Flushing, New York 11354-6507",www.acs.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,7,7,94%,NA,2019-20,"$13,731",Medical/Clinical Assistant,483850,04223300
Alliance Computing Solutions - NYC,"545 8th Avenue Suite 1210, New York, New York 10018-4313",www.acs.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,,,NA,NA,2019-20,NA,Medical/Clinical Assistant,48385001,04223301
Alliant International University-Fresno,"5130 East Clinton Way, Fresno, California 93727",https://www.alliant.edu/,"4-year, Private for-profit",Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,,,,NA,NA,Fall 2016,NA,-,11046801,01111707
Alliant International University-Irvine,"2855 Michelle Drive, Suite #300, Irvine, California 92606",https://www.alliant.edu/,"4-year, Private for-profit",Master's degree;Doctor's degree - professional practice,City: Large,,,,NA,NA,Fall 2016,NA,-,11046804,01111704
Alliant International University-Los Angeles,"1000 South Fremont Ave, #5, Alhambra, California 91803",https://www.alliant.edu/,"4-year, Private for-profit",Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Large,,,,NA,NA,Fall 2016,NA,-,11046802,01111705
Alliant International University-Sacramento,"2030 West El Camino Ave., Sacramento, California 95833",https://www.alliant.edu/,"4-year, Private for-profit",Master's degree;Doctor's degree - professional practice,City: Large,,,,NA,NA,Fall 2016,NA,-,11046805,01111710
Alliant International University-San Diego,"10455 Pomerado Road, San Diego, California 92131",https://www.alliant.edu/,"4-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,No,3599,274,NA,NA,Fall 2016,NA,-,110468,01111700
Alliant International University-San Francisco,"1475 66th Street, Suite 104, Emeryville, California 94608",https://www.alliant.edu/,"4-year, Private for-profit",Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Large,,,,NA,NA,Fall 2016,NA,-,11046803,01111706
Allied Health Careers Institute,"1233 Commerce Park, Murfreesboro, Tennessee 37130-5996",www.ahci.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,63,63,69%,NA,2019-20,"$8,224","Practical Nursing, Vocational Nursing and Nursing Assistants, Other",490151,04253100
All-State Career School,"50 West Powhattan Avenue, Essington, Pennsylvania 19029",www.allstatecareer.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate,Suburb: Large,No,838,838,26%,NA,Fall 2019,"$18,511",Truck and Bus Driver/Commercial Vehicle Operator and Instructor,210599,02495500
All-State Career School-Pittsburgh,"1200 Lebanon Road, West Mifflin, Pennsylvania 15122",www.allstatecareer.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,369,369,48%,NA,2019-20,"$14,953",Truck and Bus Driver/Commercial Vehicle Operator and Instructor,418658,03493302
All-State Career-Baltimore,"2200 Broening Hwy Ste 160, Baltimore, Maryland 21224",https://www.allstatecareer.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,475,475,46%,NA,2019-20,"$20,054",Truck and Bus Driver/Commercial Vehicle Operator and Instructor,373784,03493300
Allstate Hairstyling & Barber College,"2546 Lorain Avenue, Cleveland, Ohio 44113-3413",allstatecollege.com/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,City: Large,No,31,31,57%,NA,Fall 2019,"$11,898",Barbering/Barber,461111,02324400
Allure Beauty College,"74 Parkway Plaza Loop, Whitesburg, Kentucky 41858",www.allurebeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Rural: Remote,No,25,25,50%,NA,2019-20,"$11,612","Cosmetology/Cosmetologist, General",248192,02526100
Altoona Beauty School Inc,"1528 Valley View Blvd., Altoona, Pennsylvania 16602-6039",www.altoonabeautyschool.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,64,64,100%,NA,2019-20,"$11,358","Cosmetology/Cosmetologist, General",210748,02290400
Ambria College of Nursing,"5210 Trillium Blvd, Hoffman Estates, Illinois 60192",ambria.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree,City: Small,No,211,211,NA,NA,Fall 2016,"$15,221",Registered Nursing/Registered Nurse,457527,04124700
American Academy of Art College,"332 S Michigan Ave, Chicago, Illinois 60604-4302",https://www.aaart.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,111,111,59%,7%,Fall 2016,"$31,818",-,142887,00162800
American Academy of Cosmetology,"1330 Blanding Blvd Ste 125, Orange Park, Florida 32065",www.aacschool.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,112,112,90%,NA,2019-20,"$18,998","Cosmetology/Cosmetologist, General",457396,04151500
American Academy of Health and Wellness,"2233 Hamline Ave N, Suite 432, Roseville, Minnesota 55113",https://www.acupunctureschoolusa.com/,"4-year, Private for-profit",Master's degree;Doctor's degree - professional practice,Suburb: Large,No,23,,NA,NA,Fall 2016,NA,-,446002,03833300
American Advanced Technicians Institute,"6801 W 20th St, Hialeah, Florida 33014",www.aati.edu/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,32,32,64%,NA,2019-20,"$26,417",Automobile/Automotive Mechanics Technology/Technician,444370,03491400
American Barber and Beauty Academy,"733 Lancaster Avenue, Reading, Pennsylvania 19607-1602",americanbarberbeauty.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,131,131,80%,NA,2019-20,"$21,191",Barbering/Barber,490258,04257900
American Beauty Academy,"87 W 600 S, Payson, Utah 84651",www.americanbeauty.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,25,25,89%,11%,2019-20,"$10,699","Cosmetology/Cosmetologist, General",459541,04169900
American Beauty Academy-West Valley Campus,"3695 S Redwood Rd Ste #9, West Valley City, Utah 84119",americanbeautyutah.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,55,55,62%,NA,2019-20,"$12,593","Cosmetology/Cosmetologist, General",489247,04169901
American Beauty College,"652 S. Sunset Ave, West Covina, California 91790",https://www.americanbeautycollege.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,234,234,40%,NA,2019-20,"$24,175","Cosmetology/Cosmetologist, General",108977,01307400
American Beauty School,"1380 Metropolitan Avenue, Bronx, New York 10462",www.americanbeautyschool.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,139,139,0%,NA,2019-20,"$5,428","Cosmetology/Cosmetologist, General",189477,03903400
American Beauty Schools,"8100 Southwest 8th Street, Miami, Florida 33144-0000",www.americanbeautyschools.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,114,114,95%,NA,2019-20,"$14,817","Cosmetology/Cosmetologist, General",490391,04263500
American Career College-Anaheim,"1200 N. Magnolia Ave., Anaheim, California 92801-0000",https://new.americancareercollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Large,No,1465,1465,65%,NA,Fall 2019,"$26,879",Licensed Practical/Vocational Nurse Training,441052,02241801
American Career College-Los Angeles,"4021 Rosewood Avenue, Los Angeles, California 90004",https://americancareercollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Large,No,1969,1969,64%,NA,Fall 2019,"$27,891",Licensed Practical/Vocational Nurse Training,109040,02241800
American Career College-Ontario,"3130 East Sedona Court, Ontario, California 91764",https://new.americancareercollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Midsize,No,1639,1639,58%,NA,Fall 2019,"$27,126",Licensed Practical/Vocational Nurse Training,447768,03971300
American College of Acupuncture and Oriental Med,"9100 Park West Drive, Houston, Texas 77063-4104",www.acaom.edu/,"4-year, Private for-profit",Master's degree;Doctor's degree - professional practice,City: Large,No,87,,NA,NA,Fall 2016,NA,-,429085,03153300
